,nest,year,species,field.hab,nest.veg,lat,long,visit,initiation,robel.found,robel.found.date,robel.fate,robel.fate.date,FirstFound,LastPresent,LastChecked,Fate,Freq
681,L297,2016,NSHO,grass,grass,48.07534,-101.65018,t,166,14.5,174,15.8,201,174,196,196,0,1
682,L298,2016,BWTE,grass,grass,48.07877,-101.65216,t,163,11.8,174,17.3,201,174,196,196,0,1
683,L299,2016,BWTE,grass,grass,48.49789,-102.40755,t,161,10.5,175,5,182,175,175,182,1,1
684,L3,2016,MALL,grass,grass,48.63231,-102.41113,t,115,9.3,121,7.5,140,121,133,140,1,1
685,L30,2016,NOPI,grass,grass,48.59264,-102.41289,t,124,13.3,137,13.8,161,137,153,161,1,1
686,L300,2016,GADW,grass,grass,48.47643,-102.35633,t,169,13,175,7.3,182,175,175,182,1,1
687,L301,2016,GADW,grass,grass,48.50133,-102.40671,t,169,16.5,175,13.8,182,175,175,182,1,1
688,L302,2016,BWTE,grass,grass,48.4999,-102.40656,t,160,11.8,175,7.8,182,175,175,182,1,1
689,L303,2016,GADW,grass,grass,48.49962,-102.40646,t,154,14,175,7.5,182,175,175,182,1,1
690,L304,2016,BWTE,grass,grass,48.49671,-102.40588,t,172,13.5,175,9.8,182,175,175,182,1,1
691,L305,2016,GADW,crp,grass,48.50007,-102.40552,t,161,10,175,4.3,195,175,193,193,0,1
692,L306,2016,GADW,grass,grass,48.49792,-102.40533,t,160,15.8,175,4.3,201,175,196,196,0,1
693,L307,2016,BWTE,grass,grass,48.49762,-102.40241,t,148,10.5,175,11.5,182,175,177,177,0,1
694,L308,2016,MALL,grass,grass,48.49927,-102.40285,t,168,16.5,175,4.5,188,175,182,188,1,1
695,L309,2016,BWTE,grass,tall.shrub,48.63203,-102.41739,t,163,26,175,18.3,196,175,189,196,1,1
696,L31,2016,NOPI,grass,grass,48.4784,-102.3587,t,131,7.5,137,7.5,153,137,144,153,1,1
697,L310,2016,NOPI,other,grass,48.63168,-102.41676,t,169,11.8,175,14.5,196,175,189,196,1,1
698,L311,2016,GADW,grass,grass,48.77177,-102.69563,t,168,25.3,176,20.3,190,176,183,190,1,1
699,L312,2016,NSHO,grass,grass,48.77271,-102.69512,t,167,22,176,18.8,183,176,176,183,1,1
700,L313,2016,BWTE,grass,grass,48.77251,-102.69105,t,165,23.5,176,25.3,202,176,197,197,0,1
701,L315,2016,NSHO,grass,grass,48.49642,-102.39634,t,158,7,177,4.3,182,177,177,182,1,1
702,L316,2016,GADW,grass,grass,48.49527,-102.39491,t,166,9.8,177,8.3,188,177,182,188,1,1
703,L317,2016,BWTE,grass,grass,48.49888,-102.39539,t,164,14,177,10,195,177,188,195,1,1
704,L318,2016,BWTE,grass,grass,48.49866,-102.39611,t,155,14.8,177,9,195,177,190,190,0,1
705,L319,2016,BWTE,grass,grass,48.49991,-102.39595,t,162,10.3,177,9.3,188,177,182,188,1,1
706,L321,2016,GADW,other,grass,48.50266,-102.39687,t,169,18.8,177,8.3,201,177,195,201,1,1
707,L322,2016,BWTE,grass,grass,48.50125,-102.39866,t,155,11,177,8,195,177,189,189,0,1
708,L323,2016,LESC,grass,grass,48.49547,102.40208,t,149,14.5,177,11.5,195,177,189,189,0,1
709,L324,2016,NSHO,grass,grass,48.49932,-102.39992,t,163,10.5,177,5.3,188,177,182,188,1,1
710,L325,2016,BWTE,grass,grass,48.63951,-102.59653,t,156,11.5,177,12.5,196,177,191,191,0,1
711,L326,2016,LESC,grass,grass,48.63613,-102.59489,t,165,17,177,17.3,190,177,183,190,1,1
712,L328,2016,GADW,grass,grass,48.72456,-102.80285,t,168,15.8,178,14.5,191,178,184,191,1,1
713,L33,2016,BWTE,grass,grass,48.47643,-102.35633,t,130,9.5,137,9.5,144,137,137,144,1,1
714,L330,2016,GADW,grass,grass,48.72553,-102.80382,t,161,19.5,178,16.5,184,178,178,184,1,1
715,L331,2016,BWTE,grass,grass,48.72637,-102.80369,t,153,13.8,178,14.8,184,178,178,184,1,1
716,L332,2016,GADW,crp,grass,48.72322,-102.80212,t,159,13.3,178,12.5,191,178,184,191,1,1
717,L333,2016,NSHO,crp,grass,48.72207,-102.80414,t,165,17.3,178,17.3,184,178,178,184,1,1
718,L334,2016,NSHO,grass,grass,48.63194,-102.40886,t,154,10,179,10.5,182,179,179,182,1,1
719,L335,2016,GADW,grass,grass,48.45614,-102.39829,t,147,20.8,179,21.8,185,179,180,180,0,1
720,L336,2016,GADW,grass,grass,48.45591,-102.39778,t,158,16.8,179,15.8,197,179,192,192,0,1
721,L337,2016,NSHO,grass,grass,48.45908,-102.38691,t,150,16.3,179,17.5,185,179,182,182,0,1
722,L338,2016,GADW,grass,grass,48.45928,-102.38871,t,171,21.8,179,13.3,202,179,197,202,1,1
723,L34,2016,MALL,grass,grass,48.48029,-102.35654,t,133,9,137,6.5,153,137,144,153,1,1
724,L340,2016,GADW,grass,grass,48.45863,-102.39828,t,148,13.3,179,12.3,185,179,181,181,0,1
725,L341,2016,MALL,grass,grass,48.45858,-102.39827,t,152,20.5,179,21,191,179,186,186,0,1
726,L342,2016,NOPI,grass,grass,48.45858,-102.39747,t,153,21,179,21.5,191,179,186,186,0,1
727,L343,2016,GADW,grass,grass,48.45899,-102.40072,t,151,22.5,179,24,185,179,180,180,0,1
728,L344,2016,LESC,grass,grass,48.47418,-102.35581,t,167,9.8,179,10,186,179,179,186,1,1
729,L345,2016,BWTE,grass,grass,48.68233,-102.66549,t,174,5.5,183,7,196,183,190,196,1,1
730,L346,2016,GADW,grass,grass,48.05083,-101.63268,t,149,10,180,10.5,189,180,182,182,0,1
731,L347,2016,BWTE,grass,grass,48.04992,-101.62937,t,175,8.8,180,7.8,189,180,180,189,1,1
732,L348,2016,MALL,grass,grass,48.04991,-101.62753,t,177,13.3,180,10,189,180,180,189,1,1
733,L349,2016,LESC,grass,grass,48.04974,-101.62628,t,173,12.3,180,11.5,189,180,180,189,1,1
734,L35,2016,NSHO,grass,grass,48.47979,-102.354,t,127,10.5,137,12.5,166,137,160,160,0,1
735,L350,2016,LESC,grass,grass,48.04858,-101.63192,t,170,11.3,180,11,201,180,195,201,1,1
736,L351,2016,GADW,grass,grass,48.04853,-101.62748,t,171,13.3,180,14,189,180,180,189,1,1
737,L352,2016,GADW,grass,grass,48.04905,-101.62424,t,172,16,180,14.5,189,180,180,189,1,1
738,L353,2016,BWTE,grass,grass,48.04877,-101.62637,t,167,7.5,180,10,201,180,198,198,0,1
739,L355,2016,GADW,other,low.wet,48.04825,-101.62572,t,173,16.3,180,17.5,189,180,180,189,1,1
740,L356,2016,GADW,grass,grass,48.04719,-101.62782,t,168,7,180,8.3,201,180,195,201,1,1
741,L357,2016,GADW,grass,grass,48.04663,-101.62678,t,161,14.5,180,15,195,180,191,191,0,1
742,L358,2016,MALL,grass,grass,48.04496,-101.63068,t,175,15,180,14.5,195,180,189,195,1,1
743,L359,2016,BWTE,grass,grass,48.04507,-101.63095,t,174,10.5,180,11.5,189,180,180,189,1,1
744,L36,2016,BWTE,grass,grass,48.4875,-102.35565,t,129,7.3,137,7.3,144,137,137,144,1,1
745,L360,2016,BWTE,grass,grass,48.04549,-101.62585,t,156,14.5,180,14.5,195,180,191,191,0,1
746,L361,2016,MALL,grass,grass,48.07474,-101.65199,t,172,10.3,180,11.3,189,180,180,189,1,1
747,L362,2016,NSHO,grass,grass,48.07566,-101.65249,t,161,10.5,180,11.3,195,180,191,191,0,1
748,L363,2016,LESC,grass,grass,48.07516,-101.64833,t,165,13.3,180,13.8,201,180,195,201,1,1
749,L364,2016,GADW,other,low.wet,48.07611,-101.65266,t,171,21.5,180,19.8,201,180,196,196,0,1
750,L365,2016,BWTE,grass,grass,48.67528,-101.72251,t,168,7.8,182,6.8,197,182,190,197,1,1
751,L366,2016,GADW,grass,grass,48.6704,-102.72095,t,177,13.5,182,13.3,202,182,197,202,1,1
752,L367,2016,GADW,grass,low.shrub,48.67551,-102.72138,t,172,15,182,11.8,190,182,182,190,1,1
753,L368,2016,BWTE,grass,grass,48.67579,-102.72033,t,162,11.8,182,10,202,182,198,198,0,1
754,L369,2016,BWTE,grass,grass,48.67216,-102.72058,t,171,10,182,10.3,202,182,199,199,0,1
755,L37,2016,MALL,grass,grass,48.59032,-102.41501,t,134,17.8,138,0,148,138,138,148,1,1
756,L371,2016,LESC,grass,grass,48.67099,-102.71944,t,173,19.5,182,20.3,197,182,190,197,1,1
757,L372,2016,BWTE,grass,grass,48.67208,-102.7193,t,174,13.3,182,12.3,190,182,182,190,1,1
758,L373,2016,NSHO,grass,grass,48.67213,-102.71944,t,171,15.3,182,14.3,190,182,182,190,1,1
759,L374,2016,GADW,grass,grass,48.67601,-102.71793,t,175,12.8,182,11.8,213,182,208,208,0,1
760,L375,2016,GADW,grass,grass,48.67308,-102.71499,t,175,15.5,182,12.8,213,182,208,208,0,1
761,L376,2016,GADW,grass,low.shrub,48.67289,-102.71435,t,168,28,182,27,190,182,182,190,1,1
762,L377,2016,GADW,grass,grass,48.67242,-102.71442,t,176,13,182,9.3,207,182,202,207,1,1
763,L378,2016,NSHO,grass,grass,48.63339,-102.59832,t,150,7.5,183,7.8,190,183,183,190,1,1
764,L379,2016,BWTE,grass,grass,48.63359,-102.60242,t,171,6.8,183,7,196,183,189,196,1,1
765,L38,2016,MALL,grass,grass,48.59006,-102.41457,t,121,10.5,138,0,148,138,138,148,1,1
766,L380,2016,GADW,grass,grass,48.5934,-102.42997,t,170,16.3,184,16.8,207,184,204,204,0,1
767,L381,2016,BWTE,grass,grass,48.59394,-102.42916,t,170,5.3,184,6,191,184,184,191,1,1
768,L382,2016,BWTE,grass,grass,48.59497,-102.42313,t,163,5.3,184,5.8,202,184,197,197,0,1
769,L383,2016,GADW,grass,grass,48.59574,-102.42232,t,159,10,184,10.5,196,184,192,192,0,1
770,L385,2016,GADW,grass,grass,48.59439,-102.42007,t,171,21,184,21.5,202,184,199,199,0,1
771,L386,2016,BWTE,grass,grass,48.59334,-102.41978,t,161,11.8,184,11.3,191,184,184,191,1,1
772,L387,2016,GADW,grass,grass,48.59073,-102.4093,t,173,15.3,184,13,191,184,184,191,1,1
773,L388,2016,GADW,grass,grass,48.5904,-102.40897,t,161,14.5,184,14.5,191,184,184,191,1,1
774,L389,2016,NSHO,grass,grass,48.59312,-102.41203,t,165,8.8,184,9,202,184,197,197,0,1
775,L39,2016,NOPI,grass,grass,48.59171,-102.41762,t,127,8,138,0,148,138,138,148,1,1
776,L390,2016,BWTE,grass,grass,48.59136,-102.41206,t,160,12.5,184,13.3,196,184,193,193,0,1
777,L391,2016,GADW,grass,grass,48.62854,-102.58266,t,170,14.8,185,14.3,197,185,192,197,1,1
778,L392,2016,BWTE,grass,grass,48.63131,-102.584,t,171,20.8,185,21,192,185,185,192,1,1
779,L393,2016,LESC,grass,grass,48.47829,-102.35612,t,177,5.8,186,7.5,213,186,210,210,0,1
780,L394,2016,GADW,grass,grass,48.47623,-102.3549,t,166,7.3,186,8.3,201,186,197,197,0,1
781,L395,2016,BWTE,grass,grass,48.47421,-102.35434,t,163,6,186,7.5,201,186,194,194,0,1
782,L396,2016,AGWT,grass,grass,48.49669,-102.40683,t,181,10.8,188,3.3,201,188,195,201,1,1
783,L397,2016,BWTE,grass,grass,48.50212,-102.40445,t,160,9,188,8,195,188,188,195,1,1
784,L398,2016,GADW,grass,grass,48.5026,-102.40068,t,175,17.5,188,15,213,188,208,208,0,1
785,L399,2016,GADW,grass,grass,48.4947,-102.40115,t,181,10,188,8.8,195,188,188,195,1,1
786,L4,2016,MALL,other,grass,48.64754,-102.56508,t,114,18.5,124,12,142,124,135,142,1,1
787,L40,2016,BWTE,grass,grass,48.77187,-102.69882,t,132,10.3,139,11.5,150,139,145,150,1,1
788,L400,2016,GADW,grass,grass,48.50126,-102.40166,t,158,13.5,188,10.8,195,188,188,195,1,1
789,L401,2016,GADW,grass,grass,48.50048,-102.40147,t,180,16.3,188,13,201,188,195,201,1,1
790,L402,2016,BWTE,grass,grass,48.49697,-102.39403,t,177,15,188,9.8,195,188,188,195,1,1
791,L403,2016,NSHO,grass,grass,48.62901,-102.40963,t,164,5.3,189,4.8,196,189,189,196,1,1
792,L404,2016,MALL,other,low.shrub,48.6283,-102.40846,t,174,28.8,189,23.3,207,189,202,207,1,1
793,L406,2016,LESC,other,low.wet,48.7313,-102.68251,t,178,7,190,6.8,196,190,190,196,1,1
794,L407,2016,BWTE,grass,grass,48.63611,-102.59282,t,164,13.3,190,13.5,202,190,197,197,0,1
795,L408,2016,BWTE,grass,grass,48.63409,-102.60198,t,166,19.8,190,20.8,202,190,197,197,0,1
796,L409,2016,GADW,grass,grass,48.4576,-102.39751,t,173,20.8,191,19.5,197,191,191,197,1,1
797,L41,2016,BWTE,grass,grass,48.77176,-102.69588,t,138,7.8,139,8.3,162,139,157,162,1,1
798,L410,2016,GADW,grass,grass,48.64685,-102.56971,t,169,12.3,192,1,197,192,192,197,1,1
799,L411,2016,GADW,grass,grass,48.62665,-102.48801,t,163,12,193,11.5,200,193,194,194,0,1
800,L412,2016,GADW,grass,grass,48.62748,-102.4883,t,175,17,193,18.5,207,193,204,204,0,1
801,L413,2016,GADW,grass,grass,48.62941,-102.47843,t,164,29,193,28.8,200,193,196,196,0,1
802,L414,2016,LESC,grass,grass,48.73414,-102.80661,t,186,17.3,194,17.5,200,194,194,200,1,1
803,L415,2016,GADW,grass,grass,48.72496,-102.80727,t,171,19.3,194,16.3,200,194,194,200,1,1
804,L416,2016,LESC,grass,grass,48.0786,-101.65171,t,190,12,195,12,201,195,195,201,1,1
805,L417,2016,GADW,grass,grass,48.08038,-101.64897,t,171,6.3,195,6.8,207,195,203,203,0,1
806,L418,2016,GADW,grass,grass,48.59336,-102.42642,t,184,14.3,196,17.3,216,196,214,214,0,1
807,L420,2016,GADW,grass,grass,48.59137,-102.41554,t,182,19.8,196,20.8,207,196,202,207,1,1
808,L421,2016,GADW,grass,grass,48.59035,-102.41696,t,183,19.8,196,20.5,216,196,213,216,1,1
809,L422,2016,GADW,grass,grass,48.68322,-102.66657,t,189,11.3,197,7.5,207,197,202,207,1,1
810,L423,2016,GADW,grass,low.shrub,48.68203,-102.66507,t,180,13.5,197,14,213,197,213,213,0,1
811,L424,2016,GADW,other,low.shrub,48.67637,-102.71532,t,168,16.5,197,17,207,197,203,203,0,1
812,L425,2016,BWTE,grass,grass,48.63176,-102.48251,t,170,20,200,19.8,207,200,202,202,0,1
813,L43,2016,BWTE,hay,grass,48.77564,-102.69015,t,127,8.3,139,9.8,145,139,139,145,1,1
814,L44,2016,BWTE,grass,grass,48.77472,-102.69219,t,129,5.5,139,7.5,150,139,145,150,1,1
815,L45,2016,BWTE,grass,grass,48.63286,-102.41572,t,130,8.3,140,14,168,140,163,163,0,1
816,L46,2016,BWTE,other,grass,48.63168,-102.41678,t,139,10,140,14.3,175,140,171,171,0,1
817,L47,2016,BWTE,grass,grass,48.63236,-102.41663,t,134,13.3,140,17.8,155,140,148,155,1,1
818,L48,2016,BWTE,grass,grass,48.63258,-102.41639,t,130,4.8,140,4.8,148,140,140,148,1,1
819,L49,2016,BWTE,grass,tall.shrub,48.63189,-102.41268,t,130,10.3,140,12.8,155,140,148,155,1,1
820,L5,2016,MALL,grass,low.shrub,48.63326,-102.41544,t,118,7.8,126,7.8,133,126,126,133,1,1
821,L50,2016,BWTE,grass,grass,48.63083,-102.41245,t,129,10,140,9.8,168,140,162,162,0,1
822,L51,2016,MALL,other,tall.shrub,48.6289,-102.41511,t,124,17.8,140,17.8,148,140,140,148,1,1
823,L52,2016,BWTE,other,tall.shrub,48.62887,-102.41501,t,129,10.5,140,9.8,161,140,155,161,1,1
824,L53,2016,BWTE,other,tall.shrub,48.62814,-102.41584,t,129,21,140,20.5,168,140,163,163,0,1
825,L54,2016,BWTE,other,grass,48.62857,-102.41673,t,128,7.3,140,7.5,168,140,162,162,0,1
826,L55,2016,MALL,other,grass,48.62786,-102.41685,t,131,11.5,140,11.5,148,140,140,148,1,1
827,L56,2016,MALL,grass,grass,48.62611,-102.4156,t,121,17,140,19,161,140,161,161,0,1
828,L57,2016,NOPI,grass,grass,48.62666,-102.4185,t,131,13.8,140,14.3,168,140,162,162,0,1
829,L58,2016,BWTE,grass,grass,48.62738,-102.4158,t,126,9.5,140,12,155,140,148,155,1,1
830,L6,2016,MALL,other,tall.shrub,48.73322,-102.68036,t,120,15,127,19.8,141,127,134,141,1,1
831,L60,2016,BWTE,grass,grass,48.73339,-102.68111,t,140,5.5,141,7.5,178,141,174,174,0,1
832,L61,2016,BWTE,grass,grass,48.73453,-102.68644,t,133,7,141,7.5,171,141,166,166,0,1
833,L62,2016,BWTE,grass,grass,48.73454,-102.68878,t,131,11,141,10,148,141,141,148,1,1
834,L63,2016,BWTE,grass,grass,48.73434,-102.68443,t,132,6.5,141,6.3,165,141,159,165,1,1
835,L64,2016,BWTE,grass,grass,48.64248,-102.56266,t,141,5.8,142,5.8,180,142,175,175,0,1
836,L65,2016,BWTE,grass,grass,48.64391,-102.56171,t,136,6.3,142,7.3,148,142,142,148,1,1
837,L66,2016,BWTE,grass,grass,48.64445,-102.56477,t,140,6,142,8.8,154,142,148,154,1,1
838,L67,2016,BWTE,other,grass,48.64764,-102.56088,t,124,7.5,142,14.5,166,142,160,160,0,1
839,L68,2016,BWTE,grass,grass,48.64512,-102.56844,t,132,6,142,5.3,154,142,148,154,1,1
840,L69,2016,BWTE,grass,grass,48.67106,-102.72099,t,142,5.8,144,6.3,168,144,162,168,1,1
841,L7,2016,MALL,hay,grass,48.72723,-102.80379,t,124,10.8,129,11.3,154,129,142,154,1,1
842,L70,2016,MALL,grass,grass,48.67458,-102.7221,t,135,11,144,16.3,168,144,165,165,0,1
843,L71,2016,BWTE,grass,grass,48.67465,-102.72256,t,139,8.3,144,9.8,157,144,150,157,1,1
844,L72,2016,BWTE,grass,grass,48.67458,-102.7221,t,137,6,144,15.5,168,144,162,168,1,1
845,L73,2016,NOPI,grass,grass,48.67398,-102.71964,t,139,9.8,144,7.5,150,144,144,150,1,1
846,L74,2016,NSHO,grass,grass,48.67247,-102.71269,t,136,8.8,144,9.8,176,144,170,170,0,1
847,L75,2016,BWTE,grass,grass,48.67303,-102.71268,t,123,8,144,8.5,157,144,150,157,1,1
848,L76,2016,BWTE,other,grass,48.67603,-102.71365,t,133,6.5,144,8,150,144,144,150,1,1
849,L77,2016,BWTE,grass,grass,48.4959,-102.40771,t,144,8,145,9.8,153,145,145,153,1,1
850,L78,2016,BWTE,grass,grass,48.49582,-102.40755,t,130,7.3,145,9.8,168,145,163,163,0,1
851,L79,2016,BWTE,grass,grass,48.49689,-102.40694,t,141,13,145,11.5,168,145,160,168,1,1
852,L8,2016,NOPI,hay,grass,48.72732,-102.80324,t,126,9.3,129,12.3,142,129,135,142,1,1
853,L80,2016,MALL,grass,grass,48.49705,-102.4068,t,136,13,145,14,175,145,169,169,0,1
854,L81,2016,NSHO,grass,grass,48.4972,-102.40688,t,129,14,145,15.8,168,145,162,162,0,1
855,L82,2016,BWTE,grass,grass,48.50191,-102.40694,t,133,10.5,145,12.8,168,145,165,165,0,1
856,L83,2016,BWTE,crp,grass,48.5026,-102.40576,t,137,10.3,145,10.5,168,145,160,168,1,1
857,L84,2016,BWTE,grass,grass,48.50269,-102.40313,t,140,9.3,145,11.3,153,145,145,153,1,1
858,L85,2016,BWTE,grass,grass,48.50235,-102.40085,t,137,10.3,145,13,160,145,153,160,1,1
859,L86,2016,BWTE,grass,grass,48.50231,-102.40231,t,134,6.3,145,4.5,160,145,153,160,1,1
860,L87,2016,BWTE,grass,grass,48.5009,-102.40446,t,138,7.3,145,11,168,145,160,168,1,1
861,L88,2016,BWTE,grass,grass,48.49682,-102.405,t,134,13.8,145,16.8,168,145,160,168,1,1
862,L89,2016,BWTE,grass,grass,48.50098,-102.40324,t,139,9,145,9.8,153,145,145,153,1,1
863,L9,2016,MALL,hay,grass,48.72152,-102.80325,t,112,6,129,6,135,129,129,135,1,1
864,L90,2016,NSHO,grass,grass,48.5008,-102.40315,t,133,10.5,145,11.8,160,145,153,160,1,1
865,L91,2016,BWTE,grass,grass,48.50071,-102.40318,t,137,10.8,145,6.8,175,145,168,175,1,1
866,L92,2016,BWTE,grass,grass,48.4998,-102.40324,t,138,12.8,145,12.8,160,145,153,160,1,1
868,L94,2016,BWTE,grass,grass,48.49799,-102.40266,t,139,14,145,19.5,160,145,153,160,1,1
869,L95,2016,BWTE,grass,grass,48.49724,-102.40128,t,136,10,145,14.3,160,145,153,160,1,1
870,L96,2016,BWTE,grass,grass,48.49745,-102.40054,t,139,9,145,16.3,160,145,153,160,1,1
871,L97,2016,BWTE,grass,grass,48.50217,-102.39844,t,133,7.3,145,8.5,153,145,145,153,1,1
872,L98,2016,BWTE,grass,grass,48.49644,-102.39976,t,138,14,145,14.3,153,145,145,153,1,1
873,L99,2016,BWTE,grass,grass,48.49549,-102.39818,t,128,6.5,145,5.8,153,145,145,153,1,1
874,W10,2016,NOPI,grass,low.shrub,48.66739,-102.95454,t,118,3.5,125,13.5,148,125,145,145,0,1
875,W100,2016,NOPI,grass,grass,48.73995,-103.2104,t,150,19,151,21,165,151,157,165,1,1
876,W101,2016,MALL,grass,grass,48.74091,-103.2034,t,143,13,151,15.5,157,151,151,157,1,1
877,W102,2016,MALL,grass,grass,48.153,-102.6827,t,152,16.5,154,17,159,154,154,159,1,1
878,W103,2016,GADW,grass,grass,48.15306,-102.68293,t,145,18,154,20,175,154,168,175,1,1
879,W104,2016,MALL,grass,grass,48.1525,-102.68376,t,146,18,154,20.5,175,154,168,175,1,1
880,W105,2016,BWTE,grass,grass,48.14952,-102.68788,t,143,10,154,11,183,154,176,176,0,1
881,W106,2016,BWTE,grass,grass,48.14938,-102.68795,t,146,6,154,8.5,183,154,175,183,1,1
882,W108,2016,NSHO,grass,grass,48.14782,-102.68494,t,142,7,154,11,175,154,173,173,0,1
883,W109,2016,BWTE,grass,low.shrub,48.14665,-102.68056,t,137,13.5,154,14.5,159,154,154,159,1,1
884,W11,2016,NOPI,grass,grass,48.70348,-103.16862,t,115,11.5,127,15,150,127,144,144,0,1
885,W110,2016,LESC,grass,grass,48.14762,-102.67487,t,143,9.5,154,11,168,154,159,168,1,1
886,W111,2016,GADW,grass,grass,48.15237,-102.66846,t,147,14,154,14,159,154,154,159,1,1
887,W112,2016,GADW,grass,grass,48.14907,-102.67021,t,144,20,154,20,183,154,176,176,0,1
888,W113,2016,MALL,grass,grass,48.14965,-102.67078,t,152,22.5,154,20.5,168,154,159,168,1,1
889,W114,2016,NSHO,grass,grass,48.14913,-102.67152,t,144,17,154,18,183,154,176,176,0,1
890,W115,2016,GADW,grass,grass,48.14956,-102.67128,t,146,14,154,16.5,159,154,154,154,1,1
891,W116,2016,GADW,grass,grass,48.1517,-102.67213,t,144,15.5,154,18,168,154,159,168,1,1
892,W117,2016,NOPI,grass,grass,48.15025,-102.67185,t,148,16.5,154,21,175,154,168,175,1,1
893,W118,2016,GADW,grass,grass,48.14798,-102.67373,t,144,20.5,154,19.5,159,154,154,159,1,1
894,W119,2016,BWTE,grass,grass,48.20988,-102.65561,t,145,7,154,6.5,168,154,159,168,1,1
895,W12,2016,NOPI,hay,grass,48.70446,-103.17027,t,113,10,127,10,138,127,133,138,1,1
896,W120,2016,BWTE,grass,grass,48.67474,-103.16761,t,154,10,155,11,160,155,155,160,1,1
897,W121,2016,BWTE,grass,grass,48.67402,-103.16787,t,143,10,155,12.5,168,155,160,168,1,1
898,W122,2016,NSHO,grass,grass,48.67121,-103.16712,t,146,10,155,11.5,182,155,176,176,0,1
899,W124,2016,BWTE,grass,grass,48.67504,-103.16571,t,149,10.5,155,11,160,155,155,160,1,1
900,W125,2016,MALL,grass,grass,48.6703,-103.1633,t,144,18,155,18.5,160,155,155,160,1,1
901,W126,2016,BWTE,grass,grass,48.67311,-103.16346,t,146,13,155,15.5,168,155,160,168,1,1
902,W127,2016,BWTE,grass,grass,48.67342,-103.16348,t,138,11,155,12.5,168,155,160,168,1,1
903,W128,2016,BWTE,grass,grass,48.67265,-103.163,t,151,12,155,13.5,168,155,160,168,1,1
904,W13,2016,NOPI,grass,grass,48.69973,-103.17141,t,113,8.5,127,10.8,138,127,133,138,1,1
905,W130,2016,NOPI,grass,grass,48.66753,-103.1674,t,144,16.5,155,15,160,155,155,160,1,1
906,W131,2016,GADW,grass,grass,48.6671,-103.16627,t,147,16,155,14.5,182,155,182,182,0,1
907,W132,2016,GADW,grass,grass,48.6665,-102.16645,t,145,17.5,155,19.5,168,155,160,168,1,1
908,W133,2016,BWTE,grass,grass,48.66634,-103.16646,t,145,15.5,155,18,160,155,155,160,1,1
909,W134,2016,GADW,grass,grass,48.6642,-103.16602,t,144,17.5,155,20.5,182,155,178,178,0,1
910,W135,2016,NOPI,grass,grass,48.66261,-103.16607,t,133,15.5,148,15.5,155,148,148,155,1,1
911,W136,2016,NSHO,grass,grass,48.6628,-103.16627,t,144,14.5,155,16,160,155,155,160,1,1
912,W137,2016,NOPI,grass,grass,48.66656,-103.16506,t,148,17.5,155,20,168,155,160,168,1,1
913,W138,2016,BWTE,grass,grass,48.66278,-103.16348,t,146,14,155,16.5,168,155,160,168,1,1
914,W139,2016,GADW,grass,grass,48.66467,-103.16386,t,147,16,155,14.5,160,155,155,160,1,1
915,W140,2016,NSHO,grass,grass,48.66786,-103.16318,t,144,15,155,17,174,155,168,174,1,1
916,W141,2016,BWTE,grass,grass,48.66966,-103.16296,t,129,11,155,12.5,160,155,155,160,1,1
917,W142,2016,BWTE,grass,grass,48.67603,-103.16281,t,142,13.5,155,22.5,182,155,177,177,0,1
918,W143,2016,NSHO,grass,grass,48.67646,-103.16534,t,142,14.5,155,14.5,174,155,168,174,1,1
919,W144,2016,BWTE,grass,grass,48.70167,-103.16952,t,146,13,156,14,183,156,180,180,0,1
920,W145,2016,GADW,hay,grass,48.69863,-103.17194,t,146,14.5,156,16,165,156,156,165,1,1
921,W146,2016,GADW,grass,grass,48.69904,-103.17195,t,149,14,156,20,191,156,181,181,0,1
922,W147,2016,NSHO,hay,grass,48.69821,-103.17436,t,150,12,156,16,165,156,156,165,1,1
923,W148,2016,GADW,hay,grass,48.69674,-103.17452,t,146,11.5,156,13.5,171,156,165,171,1,1
924,W149,2016,GADW,hay,grass,48.69553,-103.17404,t,146,15,156,15.5,171,156,165,171,1,1
925,W15,2016,NOPI,hay,grass,48.69271,-103.16826,t,101,4,127,4,133,127,127,133,1,1
926,W150,2016,BWTE,hay,grass,48.69444,-103.17022,t,141,10.5,156,15.5,165,156,156,165,1,1
927,W151,2016,GADW,hay,grass,48.69712,-103.16893,t,146,11.5,156,0,183,156,179,179,0,1
928,W153,2016,AMWI,grass,grass,48.73433,-103.16639,t,154,15,158,14,186,158,186,186,0,1
929,W154,2016,NSHO,grass,grass,48.73365,-103.16612,t,146,15,158,19.5,186,158,178,178,0,1
930,W155,2016,MALL,grass,grass,48.73169,-103.1659,t,144,16,158,18,166,158,158,166,1,1
931,W156,2016,AMWI,grass,grass,48.73144,-103.16734,t,151,13.5,158,14,166,158,158,166,1,1
932,W157,2016,GADW,grass,grass,48.73199,-103.16811,t,148,26,158,21.5,171,158,166,171,1,1
933,W158,2016,NOPI,grass,grass,48.73384,-103.16945,t,135,18,158,20,171,158,167,167,0,1
934,W159,2016,MALL,grass,grass,48.73472,-103.17033,t,149,24.5,158,20,171,158,166,171,1,1
935,W16,2016,NOPI,hay,grass,48.69645,-103.17562,t,113,4.5,129,12,142,129,134,142,1,1
936,W160,2016,GADW,grass,grass,48.73471,-103.17007,t,145,20,158,20.5,186,158,178,178,0,1
